	42.05	2.76	7.28	0.49
	35.94	0.22	3.37	0.34
	1.95	0.40	2.72	0.34
	18.34	1.52	2.76	0.49
	4.60	0.26	3.37	0.93
	2.45	0.52	2.21	0.30
	21.23	1.23	2.65	0.37
	7.80	0.17	2.72	0.41
	1.91	0.34	2.11	0.33
	32.08	0.73	2.44	0.46
	6.54	0.24	2.18	0.38
	40.12	1.55	2.36	0.40
	2.26	0.24	2.17	0.39
	1.81	0.24	2.13	0.44
	7.07	0.23	2.46	0.41
	1.67	0.23	2.17	0.39
	1.67	0.23	2.05	0.36
	8.39	0.25	3.28	0.39
	1.42	0.37	2.84	0.38
	1.35	0.26	3.41	0.43
	1.40	0.27	2.85	0.43
	1.61	0.27	5.22	0.71
	14.13	1.63	5.48	0.68
	1.37	0.50	4.75	0.52
	1.34	0.58	2.58	3.02
	1.19	0.38	2.86	0.37
	1.35	0.38	3.09	0.61
	1.31	0.41	3.29	0.56
	1.35	0.46	3.18	0.57
	1.37	0.48	3.15	0.55
	1.41	0.48	3.43	0.80
	1.54	0.43	3.11	0.65
	1.45	0.49	3.21	0.57
	1.37	3.14	9.99	1.32
	1.44	1.49	6.40	0.31
	1.41	0.51	3.62	0.33
	1.40	0.78	3.52	0.32
	1.41	0.49	3.42	0.41
	1.40	0.96	2.57	0.39
	1.53	0.44	2.78	0.32
	1.67	0.53	5.78	0.83
	2.33	0.62	7.90	0.87
	3.17	0.65	8.07	0.85
	7.90	0.50	6.99	2.42
	24.98	0.56	2.61	0.40
	2.90	0.25	2.38	0.80
	18.93	1.02	10.35	0.73
	2.83	0.32	3.42	0.60
	5.27	0.37	3.65	0.42
	20.26	1.00	4.32	0.59
	3.75	0.48	6.01	1.77
	21.17	1.08	6.47	0.42
	31.24	0.27	3.55	0.47
	2.53	0.28	3.46	0.35
	2.24	0.50	3.91	0.40
	5.06	0.83	2.91	0.28
	2.66	0.44	3.44	0.37
	2.94	0.44	2.65	0.29
	3.86	0.57	2.78	0.34
	21.88	0.68	3.13	0.44
	13.32	0.29	3.01	0.70
	1.76	0.32	3.02	0.36
	3.39	0.59	2.68	0.37
	2.24	0.40	2.68	0.61
	2.18	0.45	2.21	0.53
	4.33	0.56	2.31	0.63
	3.00	0.53	2.50	0.56
	6.32	0.78	2.50	0.57
	2.03	0.68	2.42	0.52
	2.42	0.42	2.37	0.54
	4.86	0.46	2.93	0.58
	4.86	1.12	10.12	1.80
	2.32	0.89	8.54	0.41
	1.84	0.67	3.92	0.43
	4.23	0.47	3.33	0.46
	2.31	0.58	3.66	0.40
	2.06	0.56	4.87	0.58
	2.05	0.65	5.19	0.59
	1.99	0.79	5.49	0.63
	1.93	0.82	7.34	0.64
	5.81	4.56	8.39	0.76
	1.86	0.75	8.13	0.57
	1.87	0.97	7.66	0.61
	2.04	0.85	7.59	0.63
	2.03	0.45	2.92	0.59
	1.94	0.47	3.01	0.35
	2.01	0.92	7.77	0.62
	2.13	0.70	5.68	0.47
	3.24	0.97	5.27	0.74
	3.09	7.57	4.67	0.45
	1.76	0.68	3.44	0.39
	1.72	2.11	3.20	0.30
	1.45	0.45	5.25	0.36
	1.87	0.68	3.34	0.33
	1.51	0.60	3.19	0.36
	1.88	0.49	3.03	0.32
	2.22	0.54	2.92	0.34
	1.78	0.56	3.11	0.35
	1.89	0.41	2.88	0.47
	1.83	0.44	2.53	0.29
	1.77	0.46	3.11	0.35
	14.45	1.17	7.86	2.16
	2.41	0.34	3.30	0.44
	2.46	0.30	3.18	0.48
	6.42	0.85	3.19	1.05
	1.99	0.31	2.82	0.70
	20.02	0.82	4.09	0.64
	42.61	0.38	4.38	1.02
	28.33	1.02	4.59	0.63
	4.40	0.41	4.31	3.96
